Found shorter combination to 9 20 with  
Found shorter combination to 41 15 with  
Found shorter combination to 108 20 with  
Found shorter combination to 67 20 with 34C3_Z 
Found shorter combination to 79 20 with 34C3_Z 
Found shorter combination to 170 20 with 34C3__ 
Found shorter combination to 16 25 with 34C3__ 
Found shorter combination to 175 20 with 34C3__ 
Found shorter combination to 164 35 with 34C3_a 
Found shorter combination to 131 60 with 34C3_a 
Found shorter combination to 67 10 with 34C3_b 
Found shorter combination to 51 20 with 34C3_b 
Found shorter combination to 86 60 with 34C3_c 
Found shorter combination to 219 60 with 34C3_c 
Found shorter combination to 67 5 with 34C3_d 
Found shorter combination to 52 20 with 34C3_d 
Found shorter combination to 69 10 with 34C3_e 
Found shorter combination to 123 20 with 34C3_e 
Found shorter combination to 41 75 with 34C3_f 
Found shorter combination to 213 20 with 34C3_f 
Found shorter combination to 67 0 with 34C3_g 
Found shorter combination to 139 20 with 34C3_g 
Found shorter combination to 164 20 with 34C3_h 
Found shorter combination to 11 60 with 34C3_h 
Found shorter combination to 41 65 with 34C3_i 
Found shorter combination to 35 20 with 34C3_i 
Found shorter combination to 164 15 with 34C3_j 
Found shorter combination to 110 20 with 34C3_j 
Found shorter combination to 16 35 with 34C3_k 
Found shorter combination to 203 60 with 34C3_k 
Found shorter combination to 153 35 with 34C3_l 
Found shorter combination to 142 60 with 34C3_l 
Found shorter combination to 253 0 with 34C3_m 
Found shorter combination to 220 20 with 34C3_m 
Found shorter combination to 164 10 with 34C3_n 
Found shorter combination to 207 60 with 34C3_n 
Found shorter combination to 16 20 with 34C3_o 
Found shorter combination to 253 25 with 34C3_p 
Found shorter combination to 218 60 with 34C3_p 
Found shorter combination to 16 30 with 34C3_q 
Found shorter combination to 36 20 with 34C3_q 
Found shorter combination to 69 20 with 34C3_r 
Found shorter combination to 240 20 with 34C3_r 
Found shorter combination to 41 45 with 34C3_s 
Found shorter combination to 112 60 with 34C3_s 
Found shorter combination to 16 10 with 34C3_t 
Found shorter combination to 86 45 with 34C3_u 
Found shorter combination to 164 25 with 34C3_v 
Found shorter combination to 93 60 with 34C3_v 
Found shorter combination to 86 40 with 34C3_w 
Found shorter combination to 197 20 with 34C3_w 
Found shorter combination to 86 55 with 34C3_x 
Found shorter combination to 153 60 with 34C3_x 
Found shorter combination to 16 5 with 34C3_y 
Found shorter combination to 138 60 with 34C3_y 
Found shorter combination to 69 30 with 34C3_z 
Found shorter combination to 101 20 with 34C3_z 
Found shorter combination to 153 25 with 34C3_0 
Found shorter combination to 184 60 with 34C3_0 
Found shorter combination to 153 15 with 34C3_1 
Found shorter combination to 67 30 with 34C3_2 
Found shorter combination to 43 20 with 34C3_2 
Found shorter combination to 16 15 with 34C3_3 
Found shorter combination to 16 0 with 34C3_4 
Found shorter combination to 227 20 with 34C3_4 
Found shorter combination to 67 35 with 34C3_5 
Found shorter combination to 253 30 with 34C3_6 
Found shorter combination to 86 70 with 34C3_7 
Found shorter combination to 149 20 with 34C3_7 
Found shorter combination to 69 25 with 34C3_8 
Found shorter combination to 19 60 with 34C3_8 
Found shorter combination to 153 10 with 34C3_9 
Found shorter combination to 118 60 with 34C3_9 
Found shorter combination to 170 7 with 34C3_" 
Found shorter combination to 216 35 with 34C3_" 
Found shorter combination to 57 20 with 34C3_" 
Found shorter combination to 67 15 with 34C3_. 
Found shorter combination to 41 20 with 34C3_. 
Found shorter combination to 100 50 with 34C3_AA 
Found shorter combination to 22 15 with 34C3_AA 
Found shorter combination to 97 10 with 34C3_BA 
Found shorter combination to 164 55 with 34C3_BA 
Found shorter combination to 78 60 with 34C3_BA 
Found shorter combination to 52 10 with 34C3_CA 
Found shorter combination to 80 55 with 34C3_CA 
Found shorter combination to 69 60 with 34C3_CA 
Found shorter combination to 63 50 with 34C3_DA 
Found shorter combination to 218 15 with 34C3_DA 
Found shorter combination to 13 20 with 34C3_DA 
Found shorter combination to 90 10 with 34C3_EA 
Found shorter combination to 98 55 with 34C3_EA 
Found shorter combination to 226 10 with 34C3_FA 
Found shorter combination to 204 15 with 34C3_FA 
Found shorter combination to 252 60 with 34C3_FA 
Found shorter combination to 162 50 with 34C3_GA 
Found shorter combination to 35 15 with 34C3_GA 
Found shorter combination to 17 20 with 34C3_GA 
Found shorter combination to 177 10 with 34C3_HA 
Found shorter combination to 180 55 with 34C3_HA 
Found shorter combination to 224 20 with 34C3_HA 
Found shorter combination to 209 50 with 34C3_IA 
Found shorter combination to 96 55 with 34C3_IA 
Found shorter combination to 219 50 with 34C3_JA 
Found shorter combination to 182 55 with 34C3_JA 
Found shorter combination to 172 60 with 34C3_JA 
Found shorter combination to 71 50 with 34C3_KA 
Found shorter combination to 213 55 with 34C3_KA 
Found shorter combination to 87 60 with 34C3_KA 
Found shorter combination to 99 10 with 34C3_LA 
Found shorter combination to 33 15 with 34C3_LA 
Found shorter combination to 212 60 with 34C3_LA 
Found shorter combination to 228 50 with 34C3_MA 
Found shorter combination to 69 55 with 34C3_MA 
Found shorter combination to 12 60 with 34C3_MA 
Found shorter combination to 179 10 with 34C3_NA 
Found shorter combination to 240 15 with 34C3_NA 
Found shorter combination to 98 20 with 34C3_NA 
Found shorter combination to 146 10 with 34C3_OA 
Found shorter combination to 80 15 with 34C3_OA 
Found shorter combination to 139 60 with 34C3_OA 
Found shorter combination to 217 50 with 34C3_PA 
Found shorter combination to 138 55 with 34C3_PA 
Found shorter combination to 247 10 with 34C3_QA 
Found shorter combination to 38 50 with 34C3_RA 
Found shorter combination to 99 15 with 34C3_RA 
Found shorter combination to 94 60 with 34C3_RA 
Found shorter combination to 53 10 with 34C3_SA 
Found shorter combination to 204 55 with 34C3_SA 
Found shorter combination to 155 20 with 34C3_SA 
Found shorter combination to 218 50 with 34C3_TA 
Found shorter combination to 23 55 with 34C3_TA 
Found shorter combination to 232 20 with 34C3_TA 
Found shorter combination to 94 50 with 34C3_UA 
Found shorter combination to 118 15 with 34C3_UA 
Found shorter combination to 181 60 with 34C3_UA 
Found shorter combination to 245 50 with 34C3_VA 
Found shorter combination to 14 55 with 34C3_VA 
Found shorter combination to 124 50 with 34C3_WA 
Found shorter combination to 245 15 with 34C3_WA 
Found shorter combination to 89 60 with 34C3_WA 
Found shorter combination to 150 50 with 34C3_XA 
Found shorter combination to 95 15 with 34C3_XA 
Found shorter combination to 177 20 with 34C3_XA 
Found shorter combination to 258 10 with 34C3_YA 
Found shorter combination to 155 55 with 34C3_YA 
Found shorter combination to 208 20 with 34C3_YA 
Found shorter combination to 82 10 with 34C3_ZA 
Found shorter combination to 139 55 with 34C3_ZA 
Found shorter combination to 206 20 with 34C3_ZA 
Found shorter combination to 178 10 with 34C3__A 
Found shorter combination to 210 55 with 34C3__A 
Found shorter combination to 71 20 with 34C3__A 
Found shorter combination to 134 50 with 34C3_aA 
Found shorter combination to 177 15 with 34C3_aA 
Found shorter combination to 144 20 with 34C3_aA 
Found shorter combination to 54 10 with 34C3_bA 
Found shorter combination to 95 55 with 34C3_bA 
Found shorter combination to 76 20 with 34C3_bA 
Found shorter combination to 222 50 with 34C3_cA 
Found shorter combination to 23 15 with 34C3_cA 
Found shorter combination to 55 10 with 34C3_dA 
Found shorter combination to 71 55 with 34C3_dA 
Found shorter combination to 247 60 with 34C3_dA 
Found shorter combination to 126 10 with 34C3_eA 
Found shorter combination to 31 55 with 34C3_eA 
Found shorter combination to 216 10 with 34C3_fA 
Found shorter combination to 122 15 with 34C3_fA 
Found shorter combination to 90 60 with 34C3_fA 
Found shorter combination to 142 10 with 34C3_gA 
Found shorter combination to 254 15 with 34C3_gA 
Found shorter combination to 90 20 with 34C3_gA 
Found shorter combination to 14 50 with 34C3_hA 
Found shorter combination to 145 55 with 34C3_hA 
Found shorter combination to 38 10 with 34C3_iA 
Found shorter combination to 257 55 with 34C3_iA 
Found shorter combination to 77 60 with 34C3_iA 
Found shorter combination to 113 10 with 34C3_jA 
Found shorter combination to 206 50 with 34C3_kA 
Found shorter combination to 196 15 with 34C3_kA 
Found shorter combination to 48 60 with 34C3_kA 
Found shorter combination to 145 50 with 34C3_lA 
Found shorter combination to 231 55 with 34C3_lA 
Found shorter combination to 223 10 with 34C3_mA 
Found shorter combination to 191 55 with 34C3_mA 
Found shorter combination to 80 60 with 34C3_mA 
Found shorter combination to 210 50 with 34C3_nA 
Found shorter combination to 96 15 with 34C3_nA 
Found shorter combination to 217 20 with 34C3_nA 
Found shorter combination to 221 50 with 34C3_pA 
Found shorter combination to 39 10 with 34C3_qA 
Found shorter combination to 130 15 with 34C3_qA 
Found shorter combination to 243 10 with 34C3_rA 
Found shorter combination to 229 15 with 34C3_rA 
Found shorter combination to 115 50 with 34C3_sA 
Found shorter combination to 89 15 with 34C3_sA 
Found shorter combination to 231 60 with 34C3_sA 
Found shorter combination to 96 50 with 34C3_vA 
Found shorter combination to 200 10 with 34C3_wA 
Found shorter combination to 222 15 with 34C3_wA 
Found shorter combination to 156 50 with 34C3_xA 
Found shorter combination to 141 50 with 34C3_yA 
Found shorter combination to 216 55 with 34C3_yA 
Found shorter combination to 12 20 with 34C3_yA 
Found shorter combination to 104 10 with 34C3_zA 
Found shorter combination to 19 15 with 34C3_zA 
Found shorter combination to 248 60 with 34C3_zA 
Found shorter combination to 187 50 with 34C3_0A 
Found shorter combination to 224 55 with 34C3_0A 
Found shorter combination to 46 10 with 34C3_2A 
Found shorter combination to 143 55 with 34C3_2A 
Found shorter combination to 83 60 with 34C3_2A 
Found shorter combination to 43 50 with 34C3_3A 
Found shorter combination to 251 55 with 34C3_3A 
Found shorter combination to 46 20 with 34C3_3A 
Found shorter combination to 230 10 with 34C3_4A 
Found shorter combination to 165 15 with 34C3_4A 
Found shorter combination to 198 20 with 34C3_4A 
Found shorter combination to 152 10 with 34C3_7A 
Found shorter combination to 84 55 with 34C3_7A 
Found shorter combination to 22 50 with 34C3_8A 
Found shorter combination to 83 15 with 34C3_8A 
Found shorter combination to 121 50 with 34C3_9A 
Found shorter combination to 18 15 with 34C3_9A 
Found shorter combination to 102 60 with 34C3_9A 
Found shorter combination to 60 10 with 34C3_"A 
Found shorter combination to 18 55 with 34C3_"A 
Found shorter combination to 168 20 with 34C3_"A 
Found shorter combination to 44 10 with 34C3_.A 
Found shorter combination to 61 55 with 34C3_.A 
Found shorter combination to 163 60 with 34C3_.A 
Found shorter combination to 100 55 with 34C3_AB 
Found shorter combination to 59 45 with 34C3_AB 
Found shorter combination to 105 20 with 34C3_AB 
Found shorter combination to 97 15 with 34C3_BB 
Found shorter combination to 52 45 with 34C3_BB 
Found shorter combination to 52 15 with 34C3_CB 
Found shorter combination to 35 5 with 34C3_CB 
Found shorter combination to 185 20 with 34C3_CB 
Found shorter combination to 63 55 with 34C3_DB 
Found shorter combination to 54 5 with 34C3_DB 
Found shorter combination to 90 15 with 34C3_EB 
Found shorter combination to 226 15 with 34C3_FB 
Found shorter combination to 199 45 with 34C3_FB 
Found shorter combination to 191 20 with 34C3_FB 
Found shorter combination to 162 55 with 34C3_GB 
Found shorter combination to 246 5 with 34C3_GB 
Found shorter combination to 147 5 with 34C3_HB 
Found shorter combination to 54 60 with 34C3_HB 
Found shorter combination to 209 55 with 34C3_IB 
Found shorter combination to 27 5 with 34C3_IB 
Found shorter combination to 241 60 with 34C3_IB 
Found shorter combination to 219 55 with 34C3_JB 
Found shorter combination to 224 45 with 34C3_JB 
Found shorter combination to 25 60 with 34C3_JB 
Found shorter combination to 250 45 with 34C3_KB 
Found shorter combination to 97 45 with 34C3_LB 
Found shorter combination to 58 20 with 34C3_LB 
Found shorter combination to 228 55 with 34C3_MB 
Found shorter combination to 91 45 with 34C3_MB 
Found shorter combination to 179 15 with 34C3_NB 
Found shorter combination to 146 15 with 34C3_OB 
Found shorter combination to 113 45 with 34C3_OB 
Found shorter combination to 217 55 with 34C3_PB 
Found shorter combination to 96 5 with 34C3_PB 
Found shorter combination to 56 60 with 34C3_PB 
Found shorter combination to 247 15 with 34C3_QB 
Found shorter combination to 216 45 with 34C3_QB 
Found shorter combination to 58 60 with 34C3_QB 
Found shorter combination to 38 55 with 34C3_RB 
Found shorter combination to 141 45 with 34C3_RB 
Found shorter combination to 53 15 with 34C3_SB 
Found shorter combination to 35 45 with 34C3_SB 
Found shorter combination to 178 60 with 34C3_SB 
Found shorter combination to 218 55 with 34C3_TB 
Found shorter combination to 43 5 with 34C3_TB 
Found shorter combination to 94 55 with 34C3_UB 
Found shorter combination to 226 45 with 34C3_UB 
Found shorter combination to 104 60 with 34C3_UB 
Found shorter combination to 245 55 with 34C3_VB 
Found shorter combination to 23 5 with 34C3_VB 
Found shorter combination to 211 60 with 34C3_VB 
Found shorter combination to 124 55 with 34C3_WB 
Found shorter combination to 197 45 with 34C3_WB 
Found shorter combination to 136 60 with 34C3_WB 
Found shorter combination to 150 55 with 34C3_XB 
Found shorter combination to 212 5 with 34C3_XB 
Found shorter combination to 138 20 with 34C3_XB 
Found shorter combination to 258 15 with 34C3_YB 
Found shorter combination to 26 5 with 34C3_YB 
Found shorter combination to 74 20 with 34C3_YB 
Found shorter combination to 82 15 with 34C3_ZB 
Found shorter combination to 102 5 with 34C3_ZB 
Found shorter combination to 114 20 with 34C3_ZB 
Found shorter combination to 178 15 with 34C3__B 
Found shorter combination to 231 5 with 34C3__B 
Found shorter combination to 38 60 with 34C3__B 
Found shorter combination to 134 55 with 34C3_aB 
Found shorter combination to 79 5 with 34C3_aB 
Found shorter combination to 79 60 with 34C3_aB 
Found shorter combination to 54 15 with 34C3_bB 
Found shorter combination to 132 45 with 34C3_bB 
Found shorter combination to 99 20 with 34C3_bB 
Found shorter combination to 222 55 with 34C3_cB 
Found shorter combination to 210 45 with 34C3_cB 
Found shorter combination to 249 20 with 34C3_cB 
Found shorter combination to 55 15 with 34C3_dB 
Found shorter combination to 236 45 with 34C3_dB 
Found shorter combination to 136 5 with 34C3_eB 
Found shorter combination to 239 20 with 34C3_eB 
Found shorter combination to 216 15 with 34C3_fB 
Found shorter combination to 167 5 with 34C3_fB 
Found shorter combination to 193 20 with 34C3_fB 
Found shorter combination to 142 15 with 34C3_gB 
Found shorter combination to 186 45 with 34C3_gB 
Found shorter combination to 146 60 with 34C3_gB 
Found shorter combination to 39 5 with 34C3_hB 
Found shorter combination to 26 60 with 34C3_hB 
Found shorter combination to 38 15 with 34C3_iB 
Found shorter combination to 15 45 with 34C3_iB 
Found shorter combination to 73 20 with 34C3_iB 
Found shorter combination to 113 15 with 34C3_jB 
Found shorter combination to 11 5 with 34C3_jB 
Found shorter combination to 206 55 with 34C3_kB 
Found shorter combination to 107 45 with 34C3_kB 
Found shorter combination to 177 5 with 34C3_lB 
Found shorter combination to 160 60 with 34C3_lB 
Found shorter combination to 223 15 with 34C3_mB 
Found shorter combination to 74 5 with 34C3_nB 
Found shorter combination to 54 20 with 34C3_nB 
Found shorter combination to 221 55 with 34C3_pB 
Found shorter combination to 90 45 with 34C3_pB 
Found shorter combination to 98 60 with 34C3_pB 
Found shorter combination to 39 15 with 34C3_qB 
Found shorter combination to 105 45 with 34C3_qB 
Found shorter combination to 251 20 with 34C3_qB 
Found shorter combination to 243 15 with 34C3_rB 
Found shorter combination to 97 5 with 34C3_rB 
Found shorter combination to 129 20 with 34C3_rB 
Found shorter combination to 115 55 with 34C3_sB 
Found shorter combination to 255 45 with 34C3_vB 
Found shorter combination to 200 15 with 34C3_wB 
Found shorter combination to 154 45 with 34C3_wB 
Found shorter combination to 245 60 with 34C3_wB 
Found shorter combination to 156 55 with 34C3_xB 
Found shorter combination to 184 5 with 34C3_xB 
Found shorter combination to 45 60 with 34C3_xB 
Found shorter combination to 141 55 with 34C3_yB 
Found shorter combination to 192 45 with 34C3_yB 
Found shorter combination to 37 60 with 34C3_yB 
Found shorter combination to 104 15 with 34C3_zB 
Found shorter combination to 83 5 with 34C3_zB 
Found shorter combination to 187 55 with 34C3_0B 
Found shorter combination to 133 45 with 34C3_0B 
Found shorter combination to 152 20 with 34C3_0B 
Found shorter combination to 46 15 with 34C3_2B 
Found shorter combination to 33 5 with 34C3_2B 
Found shorter combination to 71 60 with 34C3_2B 
Found shorter combination to 43 55 with 34C3_3B 
Found shorter combination to 181 5 with 34C3_3B 
Found shorter combination to 230 15 with 34C3_4B 
Found shorter combination to 44 5 with 34C3_4B 
Found shorter combination to 152 15 with 34C3_7B 
Found shorter combination to 198 45 with 34C3_7B 
Found shorter combination to 135 20 with 34C3_7B 
Found shorter combination to 22 55 with 34C3_8B 
Found shorter combination to 130 5 with 34C3_8B 
Found shorter combination to 30 20 with 34C3_8B 
Found shorter combination to 121 55 with 34C3_9B 
Found shorter combination to 96 45 with 34C3_9B 
Found shorter combination to 60 15 with 34C3_"B 
Found shorter combination to 80 45 with 34C3_"B 
Found shorter combination to 44 15 with 34C3_.B 
Found shorter combination to 66 5 with 34C3_.B 
Found shorter combination to 100 75 with 34C3_AC 
Found shorter combination to 31 30 with 34C3_AC 
Found shorter combination to 97 35 with 34C3_BC 
Found shorter combination to 163 70 with 34C3_BC 
Found shorter combination to 229 60 with 34C3_BC 
Found shorter combination to 52 35 with 34C3_CC 
Found shorter combination to 202 70 with 34C3_CC 
Found shorter combination to 194 20 with 34C3_CC 
Found shorter combination to 63 75 with 34C3_DC 
Found shorter combination to 88 30 with 34C3_DC 
Found shorter combination to 90 35 with 34C3_EC 
Found shorter combination to 257 30 with 34C3_EC 
Found shorter combination to 226 35 with 34C3_FC 
Found shorter combination to 180 30 with 34C3_FC 
Found shorter combination to 162 75 with 34C3_GC 
Found shorter combination to 97 30 with 34C3_GC 
Found shorter combination to 177 35 with 34C3_HC 
Found shorter combination to 93 70 with 34C3_HC 
Found shorter combination to 10 20 with 34C3_HC 
Found shorter combination to 209 75 with 34C3_IC 
Found shorter combination to 208 70 with 34C3_IC 
Found shorter combination to 179 20 with 34C3_IC 
Found shorter combination to 219 75 with 34C3_JC 
Found shorter combination to 179 30 with 34C3_JC 
Found shorter combination to 137 60 with 34C3_JC 
Found shorter combination to 71 75 with 34C3_KC 
Found shorter combination to 27 30 with 34C3_KC 
Found shorter combination to 99 35 with 34C3_LC 
Found shorter combination to 83 70 with 34C3_LC 
Found shorter combination to 28 20 with 34C3_LC 
Found shorter combination to 228 75 with 34C3_MC 
Found shorter combination to 49 30 with 34C3_MC 
Found shorter combination to 103 20 with 34C3_MC 
Found shorter combination to 179 35 with 34C3_NC 
Found shorter combination to 124 30 with 34C3_NC 
Found shorter combination to 199 20 with 34C3_NC 
Found shorter combination to 146 35 with 34C3_OC 
Found shorter combination to 140 70 with 34C3_OC 
Found shorter combination to 39 60 with 34C3_OC 
Found shorter combination to 217 75 with 34C3_PC 
Found shorter combination to 184 30 with 34C3_PC 
Found shorter combination to 157 20 with 34C3_PC 
Found shorter combination to 247 35 with 34C3_QC 
Found shorter combination to 152 30 with 34C3_QC 
Found shorter combination to 38 75 with 34C3_RC 
Found shorter combination to 105 70 with 34C3_RC 
Found shorter combination to 92 60 with 34C3_RC 
Found shorter combination to 53 35 with 34C3_SC 
Found shorter combination to 42 30 with 34C3_SC 
Found shorter combination to 224 60 with 34C3_SC 
Found shorter combination to 218 75 with 34C3_TC 
Found shorter combination to 228 70 with 34C3_TC 
Found shorter combination to 215 20 with 34C3_TC 
Found shorter combination to 94 75 with 34C3_UC 
Found shorter combination to 198 30 with 34C3_UC 
Found shorter combination to 159 20 with 34C3_UC 
Found shorter combination to 245 75 with 34C3_VC 
Found shorter combination to 58 70 with 34C3_VC 
Found shorter combination to 253 60 with 34C3_VC 
Found shorter combination to 124 75 with 34C3_WC 
Found shorter combination to 150 75 with 34C3_XC 
Found shorter combination to 101 30 with 34C3_XC 
Found shorter combination to 15 20 with 34C3_XC 
Found shorter combination to 258 35 with 34C3_YC 
Found shorter combination to 39 70 with 34C3_YC 
Found shorter combination to 82 35 with 34C3_ZC 
Found shorter combination to 57 70 with 34C3_ZC 
Found shorter combination to 55 60 with 34C3_ZC 
Found shorter combination to 178 35 with 34C3__C 
Found shorter combination to 118 30 with 34C3__C 
Found shorter combination to 117 20 with 34C3__C 
Found shorter combination to 134 75 with 34C3_aC 
Found shorter combination to 209 30 with 34C3_aC 
Found shorter combination to 54 35 with 34C3_bC 
Found shorter combination to 129 70 with 34C3_bC 
Found shorter combination to 233 20 with 34C3_bC 
Found shorter combination to 222 75 with 34C3_cC 
Found shorter combination to 222 30 with 34C3_cC 
Found shorter combination to 108 60 with 34C3_cC 
Found shorter combination to 55 35 with 34C3_dC 
Found shorter combination to 106 30 with 34C3_dC 
Found shorter combination to 126 35 with 34C3_eC 
Found shorter combination to 133 70 with 34C3_eC 
Found shorter combination to 116 20 with 34C3_eC 
Found shorter combination to 60 30 with 34C3_fC 
Found shorter combination to 100 60 with 34C3_fC 
Found shorter combination to 142 35 with 34C3_gC 
Found shorter combination to 249 30 with 34C3_gC 
Found shorter combination to 93 20 with 34C3_gC 
Found shorter combination to 14 75 with 34C3_hC 
Found shorter combination to 34 70 with 34C3_hC 
Found shorter combination to 38 35 with 34C3_iC 
Found shorter combination to 222 70 with 34C3_iC 
Found shorter combination to 113 35 with 34C3_jC 
Found shorter combination to 232 30 with 34C3_jC 
Found shorter combination to 206 75 with 34C3_kC 
Found shorter combination to 124 70 with 34C3_kC 
Found shorter combination to 145 75 with 34C3_lC 
Found shorter combination to 168 30 with 34C3_lC 
Found shorter combination to 77 20 with 34C3_lC 
Found shorter combination to 223 35 with 34C3_mC 
Found shorter combination to 163 30 with 34C3_mC 
Found shorter combination to 10 60 with 34C3_mC 
Found shorter combination to 210 75 with 34C3_nC 
Found shorter combination to 54 70 with 34C3_nC 
Found shorter combination to 221 75 with 34C3_pC 
Found shorter combination to 146 30 with 34C3_pC 
Found shorter combination to 39 35 with 34C3_qC 
Found shorter combination to 216 70 with 34C3_qC 
Found shorter combination to 243 35 with 34C3_rC 
Found shorter combination to 132 30 with 34C3_rC 
Found shorter combination to 200 60 with 34C3_rC 
Found shorter combination to 115 75 with 34C3_sC 
Found shorter combination to 46 30 with 34C3_sC 
Found shorter combination to 96 75 with 34C3_vC 
Found shorter combination to 245 30 with 34C3_vC 
Found shorter combination to 20 60 with 34C3_vC 
Found shorter combination to 200 35 with 34C3_wC 
Found shorter combination to 31 70 with 34C3_wC 
Found shorter combination to 39 20 with 34C3_wC 
Found shorter combination to 156 75 with 34C3_xC 
Found shorter combination to 162 70 with 34C3_xC 
Found shorter combination to 240 60 with 34C3_xC 
Found shorter combination to 141 75 with 34C3_yC 
Found shorter combination to 224 30 with 34C3_yC 
Found shorter combination to 104 35 with 34C3_zC 
Found shorter combination to 80 70 with 34C3_zC 
Found shorter combination to 22 20 with 34C3_zC 
Found shorter combination to 187 75 with 34C3_0C 
Found shorter combination to 46 35 with 34C3_2C 
Found shorter combination to 43 75 with 34C3_3C 
Found shorter combination to 230 30 with 34C3_3C 
Found shorter combination to 237 60 with 34C3_3C 
Found shorter combination to 230 35 with 34C3_4C 
Found shorter combination to 91 30 with 34C3_4C 
Found shorter combination to 252 20 with 34C3_4C 
Found shorter combination to 152 35 with 34C3_7C 
Found shorter combination to 243 30 with 34C3_7C 
Found shorter combination to 198 60 with 34C3_7C 
Found shorter combination to 22 75 with 34C3_8C 
Found shorter combination to 28 30 with 34C3_8C 
Found shorter combination to 121 75 with 34C3_9C 
Found shorter combination to 137 30 with 34C3_9C 
Found shorter combination to 208 60 with 34C3_9C 
Found shorter combination to 60 35 with 34C3_"C 
Found shorter combination to 224 70 with 34C3_"C 
Found shorter combination to 44 35 with 34C3_.C 
Found shorter combination to 25 30 with 34C3_.C 
Found shorter combination to 182 60 with 34C3_.C 
Found shorter combination to 59 50 with 34C3_AD 
Found shorter combination to 194 60 with 34C3_AD 
Found shorter combination to 52 50 with 34C3_BD 
Found shorter combination to 85 20 with 34C3_BD 
Found shorter combination to 35 10 with 34C3_CD 
Found shorter combination to 199 50 with 34C3_FD 
Found shorter combination to 189 20 with 34C3_FD 
Found shorter combination to 246 10 with 34C3_GD 
Found shorter combination to 210 20 with 34C3_GD 
Found shorter combination to 147 10 with 34C3_HD 
Found shorter combination to 27 10 with 34C3_ID 
Found shorter combination to 180 60 with 34C3_ID 
Found shorter combination to 224 50 with 34C3_JD 
Found shorter combination to 250 50 with 34C3_KD 
Found shorter combination to 84 20 with 34C3_KD 
Found shorter combination to 97 50 with 34C3_LD 
Found shorter combination to 89 20 with 34C3_LD 
Found shorter combination to 91 50 with 34C3_MD 
Found shorter combination to 227 60 with 34C3_MD 
Found shorter combination to 113 50 with 34C3_OD 
Found shorter combination to 210 60 with 34C3_OD 
